Data solution ID is 1635378410781933568 
Distance to 1702834274065280 is 1041020.3123963 AU 
Distance to 1706716924498048 is 875277.990646239 AU 
Distance to 1723518836561280 is 1065868.2352788 AU 
Distance to 1723553196296064 is 1002240.96461516 AU 
Distance to 1743000808216320 is 1263664.26604735 AU 
Distance to 1753549248150912 is 954708.02747666 AU 
Distance to 1774130731050880 is 952851.301062607 AU 
Distance to 1785813042095232 is 1237109.31036115 AU 
Distance to 1791757277123328 is 1145684.1215653 AU 
Distance to 1815568575811456 is 1216251.83357242 AU 
Distance to 1839139355916288 is 1006254.09407087 AU 
Distance to 1852986330476288 is 1224710.11842369 AU 
Distance to 1886452715633920 is 647042.65761557 AU 
Distance to 1886727593540608 is 1179071.46534086 AU 
Distance to 1897585270861824 is 534122.031849009 AU 
Distance to 1899646855162880 is 685073.435490911 AU 
Distance to 1902120756338432 is 630983.497423275 AU 
Distance to 1908305509239936 is 874566.038479878 AU 
Distance to 1913459469994496 is 1069908.29899033 AU 
Distance to 1920159619540736 is 376973.417710901 AU 
Distance to 1935621501238400 is 1193160.47155599 AU 
Distance to 1946650977249920 is 1188535.39410423 AU 
Distance to 1950327469254016 is 1230762.81459676 AU 
Distance to 1953969602092800 is 1019513.04545573 AU 
Distance to 1954038321569280 is 1230093.89340872 AU 
Distance to 1955756307917312 is 1097430.24582155 AU 
Distance to 1960016916043904 is 646708.229844466 AU 
Distance to 1989291412582656 is 743665.914486564 AU 
Distance to 2015095576620032 is 309990.593427252 AU 
Distance to 2050176868962816 is 1209598.12410833 AU 
Distance to 2050657905300736 is 1394297.26966057 AU 
Distance to 2051516898757248 is 1329734.9561948 AU 
Distance to 2063130490324736 is 690290.966348765 AU 
Distance to 2077595940173184 is 1026635.44059898 AU 
Distance to 2082234504850432 is 901847.281007925 AU 
Distance to 2085498680532224 is 1010417.33390374 AU 
Distance to 2086941789543552 is 273098.988099774 AU 
Distance to 2091614713960576 is 721202.288468973 AU 
Distance to 2094294773016448 is 614864.511602133 AU 
Distance to 2102953427082112 is 1083368.88065272 AU 
Distance to 2150816542672256 is 1483274.47068766 AU 
Distance to 2181465429286016 is 594035.266172663 AU 
Distance to 2184179848615424 is 1289499.77370586 AU 
Distance to 2190673839164288 is 1153269.84160256 AU 
Distance to 2199023255589376 is 1324071.4274816 AU 
Distance to 2206376239593472 is 1348634.91447742 AU 
Distance to 2207441391482368 is 1172024.42710162 AU 
Distance to 2213969741771008 is 1452270.06941102 AU 
Distance to 2218264709083520 is 1204618.58930307 AU 
Distance to 2221425804997632 is 1402388.40891911 AU 
Distance to 2252280850392192 is 674462.185381262 AU 
Distance to 2261145662910208 is 1159228.11414014 AU 
Distance to 2261661058984576 is 1120743.92544041 AU 
Distance to 2286193912170880 is 1169349.4441656 AU 
Distance to 2293821774089088 is 1107234.17467884 AU 
Distance to 2299628569869952 is 986816.251162199 AU 
Distance to 2299662929607296 is 1096430.66478334 AU 
Distance to 2305847682517120 is 1211465.62505551 AU 
Distance to 2313990940505856 is 1285398.89054653 AU 
Distance to 2333885229022976 is 1151853.72511762 AU 
Distance to 2336359130184448 is 995317.828562867 AU 
Distance to 2336943245732224 is 1278882.15640732 AU 
Distance to 2338936110560896 is 873090.284733498 AU 
Distance to 2339760744280064 is 550682.999242868 AU 
Distance to 2343918272620416 is 674530.353069077 AU 
Distance to 2348762995730176 is 1278131.19093375 AU 
Distance to 2349415830758912 is 827704.234649015 AU 
Distance to 2357662167971840 is 1299841.13115913 AU 
Distance to 2372333775888768 is 1390491.16396021 AU 
Distance to 2377315937953280 is 1690443.35185955 AU 
Distance to 2395629678928128 is 1041295.0402153 AU 
Distance to 2398790774436992 is 983029.636108378 AU 
Distance to 2400199524130688 is 654297.748277617 AU 
Distance to 2404322692644224 is 1380939.64786548 AU 
Distance to 2433081793746560 is 1245399.52208032 AU 
Distance to 2445176421561216 is 358734.733761726 AU 
Distance to 2452014009584640 is 1005168.8670879 AU 
Distance to 2458542359873280 is 764622.567839605 AU 
Distance to 2458611079349504 is 1099955.35242436 AU 
Distance to 2472354974276608 is 1108744.47546146 AU 
Distance to 2477405855815168 is 946349.165409747 AU 
Distance to 2478917684301696 is 1228570.2045943 AU 
Distance to 2482044420495744 is 757412.97495657 AU 
Distance to 2484690120348288 is 1279649.15211177 AU 
Distance to 2498434016119424 is 1180666.08708559 AU 
Distance to 2517228792579072 is 653947.364661477 AU 
Distance to 2519805773378688 is 1231720.8565828 AU 
Distance to 2526746440528128 is 1104775.80253507 AU 
Distance to 2532415797356160 is 1139277.19672563 AU 
Distance to 2534614820695168 is 493556.236157106 AU 
Distance to 2536882563032832 is 439343.814787571 AU 
Distance to 2543857589814016 is 309351.545233076 AU 
Distance to 2546331490976128 is 338667.123067662 AU 
Distance to 2548839751983488 is 468514.861387722 AU 
Distance to 2549011550675200 is 566323.938652354 AU 
Distance to 2550523379162112 is 457704.330354031 AU 
Distance to 2554302950778752 is 463875.588967753 AU 
Distance to 2559491271271296 is 516217.550842947 AU 
Distance to 2559559990352256 is 386629.128872311 AU 
Distance to 2603471735978752 is 353315.430563964 AU 
Distance to 2604433809056896 is 331085.782628526 AU 
Distance to 2606426673881728 is 428081.997427656 AU 
Distance to 2622747549605504 is 762957.032699371 AU 
Distance to 2635941689137024 is 991395.820649415 AU 
Distance to 2643329032489216 is 314797.732638905 AU 
Distance to 2662295608063872 is 886462.614178593 AU 
Distance to 2679715995330560 is 1044339.19146753 AU 
Distance to 2684320200270720 is 1284615.592386 AU 
Distance to 2691089068726144 is 654272.799815926 AU 
Distance to 2691260867417728 is 959427.277653896 AU 
Distance to 2691741903758976 is 1193481.01604014 AU 
Distance to 2691879342987904 is 1061944.37639933 AU 
Distance to 2710467961166336 is 1289588.99821875 AU 
Distance to 2710708479334784 is 1280839.2530602 AU 
Distance to 2713113661018368 is 1111942.63665668 AU 
Distance to 2721291278994176 is 1008516.20576475 AU 
Distance to 2736169045460480 is 1314905.55376475 AU 
Distance to 2739708098511744 is 825490.129903802 AU 
Distance to 2747576478880512 is 438089.523204069 AU 
Distance to 2761079856056320 is 527177.013367458 AU 
Distance to 2769772869852544 is 707506.211874269 AU 
Distance to 2770150826974464 is 630146.802648006 AU 
Distance to 2773724239773952 is 668738.186427255 AU 
Distance to 2777847408368000 is 682505.309003537 AU 
Distance to 2787674293549696 is 900801.004686623 AU 
Distance to 2792106699796736 is 1059093.57798034 AU 
Distance to 2797398099508480 is 622819.127958627 AU 
Distance to 2823752018602240 is 1283924.33586079 AU 
Distance to 2864193430652928 is 1141818.09241142 AU 
Distance to 2878315283121024 is 608995.905124915 AU 
Distance to 2888932442511744 is 1098812.39720911 AU 
Distance to 2891749941058560 is 1206274.38852217 AU 
Distance to 2892815092946944 is 1418071.69500346 AU 
Distance to 2914152490467584 is 530737.451111362 AU 
Distance to 2917004348752384 is 703096.626861757 AU 
Distance to 2922501906892416 is 1336020.03881037 AU 
Distance to 2923704497733504 is 1099204.70964826 AU 
Distance to 2931126201217024 is 1583877.92020329 AU 
Distance to 2939681776071552 is 1274895.96674076 AU 
Distance to 2954387743835136 is 1189569.29856804 AU 
Distance to 2965417220136192 is 1046956.52091635 AU 
Distance to 2966825969408640 is 907217.653848009 AU 
Distance to 2973972794986112 is 1160114.69707222 AU 
Distance to 2976824653268992 is 1100627.85606987 AU 
Distance to 2981738095984256 is 1177111.14177778 AU 
Distance to 2991874218678528 is 1231557.65245475 AU 
Distance to 2999467720989184 is 1056955.29291851 AU 
Distance to 3010600276218368 is 976537.457130529 AU 
Distance to 3022591824904832 is 756458.425476893 AU 
Distance to 3024447250785024 is 1330864.76844555 AU 
Distance to 3040768126227328 is 1093410.52706522 AU 
Distance to 3045063093389952 is 1251898.74762914 AU 
Distance to 3047743152981120 is 1179335.07050331 AU 
Distance to 3059940860100736 is 1070961.80253096 AU 
Distance to 3061590127949056 is 700754.742062417 AU 
Distance to 3061658847425664 is 785916.546250032 AU 
Distance to 3075368382768256 is 958639.861344752 AU 
Distance to 3082927525208064 is 1160854.38757299 AU 
Distance to 3089318436543488 is 1007300.37777581 AU 
Distance to 3096396542797696 is 1112443.08421936 AU 
Distance to 3129966006905728 is 996309.674524422 AU 
Distance to 3142747829576704 is 1089793.82939426 AU 
Distance to 3142988347744000 is 1007906.23319918 AU 
Distance to 3145737126813568 is 1522201.58772887 AU 
Distance to 3152471635532672 is 1225451.97112184 AU 
Distance to 3158484589744128 is 643600.75490548 AU 
Distance to 3161886203838976 is 892829.197792358 AU 
Distance to 3166181171149696 is 997500.672636177 AU 
Distance to 3168311475546112 is 1092394.32164714 AU 
Distance to 3170716657025152 is 947548.986333001 AU 
Distance to 3177519885220864 is 1185919.1202631 AU 
Distance to 3181780492777984 is 500196.366720256 AU 
Distance to 3182227169376640 is 1186205.47643418 AU 
Distance to 3203083530145664 is 1343968.54019441 AU 
Distance to 3203255329257344 is 1176849.47648189 AU 
Distance to 3205626150782336 is 1105401.20178429 AU 
Distance to 3214903280154880 is 1180817.15394933 AU 
Distance to 3230296443356288 is 1085097.87924997 AU 
Distance to 3230674400478848 is 1228204.05690004 AU 
Distance to 3231533393937792 is 637706.905203722 AU 
Distance to 3243834179846912 is 1024573.533636 AU 
Distance to 3245105490185216 is 1080902.39358455 AU 
Distance to 3253076949484032 is 1141494.69580817 AU 
Distance to 3259845817944064 is 1171269.79888412 AU 
Distance to 3273727152242560 is 1011257.17292176 AU 
Distance to 3281045776913280 is 994058.870680484 AU 
Distance to 3284756628655232 is 967983.481582789 AU 
Distance to 3286027938975744 is 1216375.54197469 AU 
Distance to 3293587081013120 is 1132399.04267076 AU 
Distance to 3296473299035648 is 1392838.29801585 AU 
Distance to 3334681328099456 is 1299533.60139687 AU 
Distance to 3349421655857408 is 1288124.33046635 AU 
Distance to 3354575617015552 is 699609.129974853 AU 
Distance to 3354919213994240 is 1473988.03877726 AU 
Distance to 3358080309923584 is 918577.954616764 AU 
Distance to 3360691650041728 is 1381322.68669394 AU 
Distance to 3360863448733312 is 1340074.83178591 AU 
Distance to 3383953193218560 is 874017.252119263 AU 
Distance to 3389691269233024 is 742195.327123444 AU 
Distance to 3390206665308672 is 350433.773647913 AU 
Distance to 3397800167779968 is 756648.554174625 AU 
Distance to 3404775194667136 is 814912.062772125 AU 
Distance to 3408211168211200 is 920350.004726607 AU 
Distance to 3409585558038144 is 1089038.93015104 AU 
Distance to 3411715861523712 is 866495.013595382 AU 
Distance to 3417660096263296 is 1022784.20745019 AU 
Distance to 3434358929106560 is 1047044.94262488 AU 
Distance to 3441471394947584 is 1156551.98212298 AU 
Distance to 3441608833900288 is 1021843.20825751 AU 
Distance to 3458651264424832 is 818693.302712786 AU 
Distance to 3472085922435456 is 850040.716679364 AU 
Distance to 3490571461071872 is 1219417.59114143 AU 
Distance to 3504418435633024 is 1191824.14535317 AU 
Distance to 3509709835340544 is 1145077.1999157 AU 
Distance to 3514039162372864 is 1245843.99882303 AU 
Distance to 3523934767027456 is 897062.775368712 AU 
Distance to 3524690681270656 is 965656.634896873 AU 
Distance to 3524862479962368 is 1012545.51631665 AU 
Distance to 3552041033136512 is 1106256.11578661 AU 
Distance to 3556954475728512 is 345978.360343175 AU 
Distance to 3597533326733952 is 814729.592575516 AU 
Distance to 3610108990976256 is 777837.735605175 AU 
Distance to 3610521307835776 is 815235.445891891 AU 
Distance to 3613338806381824 is 1270947.65018184 AU 
Distance to 3622787734445824 is 956488.666701959 AU 
Distance to 3652165310747648 is 1062568.40169173 AU 
Distance to 3655154607985280 is 998629.049926292 AU 
Distance to 3657319271501824 is 1061810.6669466 AU 
Distance to 3671372404782848 is 938264.763475722 AU 
Distance to 3699753548420096 is 791646.937605424 AU 
Distance to 3703189522229760 is 880311.01671437 AU 
Distance to 3727241338945920 is 1074116.9061377 AU 
Distance to 3727722375283328 is 1362835.13930506 AU 
Distance to 3750159284603264 is 912840.165304082 AU 
Distance to 3763765740992256 is 1117875.32622631 AU 
Distance to 3763834460479744 is 1102206.97960572 AU 
Distance to 3763971899432960 is 957855.1210147 AU 
Distance to 3765930404512256 is 1278159.11409984 AU 
Distance to 3767304794045824 is 1331681.98935236 AU 
Distance to 3775585490834560 is 1128714.23136009 AU 
Distance to 3797232126171520 is 1360854.41993432 AU 
Distance to 3800049624986752 is 663615.407387796 AU 
Distance to 3821112144185984 is 1399963.41475026 AU 
Distance to 3828258969764352 is 842217.215772531 AU 
Distance to 3829427200867968 is 1145954.94387505 AU 
Distance to 3830286194326272 is 1000621.1245835 AU 
Distance to 3835543234725504 is 905220.794507059 AU 
Distance to 3836986343735808 is 706986.375387516 AU 
Distance to 3840422317572352 is 936082.649388487 AU 
Distance to 3847637862627584 is 1034145.56543912 AU 
Distance to 3853135420768000 is 956394.246665678 AU 
Distance to 3854097493014528 is 755635.053599602 AU 
Distance to 3854338011182976 is 747455.765963765 AU 
Distance to 3870177850561408 is 1191820.20843437 AU 
Distance to 3870349649266944 is 660241.828959379 AU 
Distance to 3872239434875520 is 1101373.09718954 AU 
Distance to 3876362603478528 is 923072.205418535 AU 
Distance to 3878492907255424 is 950292.914275206 AU 
Distance to 3886464366552960 is 985806.552829292 AU 
Distance to 3888182353476096 is 1069930.3855812 AU 
Distance to 3888182353476224 is 771301.973499028 AU 
Distance to 3889625462486784 is 1140812.95053078 AU 
Distance to 3891102931235200 is 973607.586588199 AU 
Distance to 3915257827300864 is 1157374.86673969 AU 
Distance to 3917010173957376 is 812811.421946979 AU 
Distance to 3919896391979648 is 1006134.92887884 AU 
Distance to 3928520686308992 is 1050052.20137706 AU 
Distance to 3940546594734720 is 914808.208826519 AU 
Distance to 3946387750635008 is 516509.822612483 AU 
Distance to 3956420793878272 is 426753.186103322 AU 
Distance to 3968137465028096 is 337276.857024375 AU 
Distance to 3970542646345216 is 657034.305867232 AU 
Distance to 3974494016256000 is 576328.296753964 AU 
Distance to 3977929990094976 is 1070283.42301749 AU 
Distance to 3987241479189760 is 651316.917735732 AU 
Distance to 3993185713923968 is 1198956.23599167 AU 
Distance to 4000469978459904 is 502698.93769844 AU 
Distance to 4001260252441984 is 517857.063111212 AU 
Distance to 4010125064935168 is 727730.750048283 AU 
Distance to 4016653415601408 is 542562.369179315 AU 
Distance to 4039296483183104 is 702544.217014445 AU 
Distance to 4052078305485056 is 565391.043394337 AU 
Distance to 4053383975541120 is 478999.375147493 AU 
Distance to 4067162230625280 is 416635.431095129 AU 
Distance to 4098154714642048 is 1420999.67923731 AU 
Distance to 4113204280042112 is 723557.007776303 AU 
Distance to 4117533607081344 is 1026303.44617801 AU 
Distance to 4118083362894976 is 1043986.9384146 AU 
Distance to 4118873636876672 is 1095758.22302118 AU 
Distance to 4128734881779968 is 1236517.62675546 AU 
Distance to 4134404238614400 is 1073463.88543668 AU 
Distance to 4136946859250688 is 1129901.81234976 AU 
Distance to 4145914751397760 is 1085215.14909626 AU 
Distance to 4181202202701952 is 1031084.36893266 AU 
Distance to 4190651130752512 is 888574.05146475 AU 
Distance to 4194671220140288 is 1161806.785504 AU 
Distance to 4210407980309888 is 311440.556026302 AU 
Distance to 4212813161993984 is 499454.202988064 AU 
Distance to 4227416050603776 is 1163497.65955831 AU 
Distance to 4241881500454144 is 1086424.10343713 AU 
Distance to 4244767718476928 is 1054621.17488604 AU 
Distance to 4259611125225088 is 1140192.40111874 AU 
Distance to 4267548224787200 is 862878.750640554 AU 
Distance to 4283113186264192 is 1125145.84643134 AU 
Distance to 4295207814273280 is 827811.765917235 AU 
Distance to 4304313144937984 is 1122938.63911481 AU 
Distance to 4310532257584640 is 1097682.13465031 AU 
Distance to 4311975366594432 is 1253657.37768214 AU 
Distance to 4319259631126400 is 1053912.17316971 AU 
Distance to 4320187344061952 is 886084.275297579 AU 
Distance to 4325684902502272 is 1166799.90102004 AU 
Distance to 4329052156561152 is 1267035.71887176 AU 
Distance to 4329120876037504 is 918793.664803426 AU 
Distance to 4330667064534784 is 1022693.4780503 AU 
Distance to 4339703675723520 is 1063622.48684186 AU 
Distance to 4370421281492608 is 357733.793272111 AU 
Distance to 4396019286570112 is 1077663.53687653 AU 
Distance to 4400932729157760 is 645119.089114303 AU 
Distance to 4426908691356672 is 595948.87269441 AU 
Distance to 4430963140482176 is 809981.178463576 AU 
Distance to 4438006887414400 is 1468361.58282245 AU 
Distance to 4461921265321088 is 983909.088313439 AU 
Distance to 4462196143227904 is 540326.242198735 AU 
Distance to 4464498245694336 is 819197.762172576 AU 
Distance to 4481884272742528 is 219238.048417594 AU 
